indice_tiempo,74.3_ISC_0_M_19
2004-10-01,858.151498
2004-11-01,849.2438510000002
2004-12-01,853.3967669999997
2005-01-01,880.0924660000001
2005-02-01,738.9691240000002
2005-03-01,856.8665069999997
2005-04-01,1180.9425650000005
2005-05-01,1219.32263
2005-06-01,726.5780360000003
2005-07-01,1251.9668779999995
2005-08-01,1211.696637
2005-09-01,1014.845324
2005-10-01,896.1798100000001
2005-11-01,572.7801170000002
2005-12-01,1149.633554
2006-01-01,863.8930649999998
2006-02-01,763.9092879999998
2006-03-01,925.8850700000004
2006-04-01,1379.874367
2006-05-01,1355.3577219999995
2006-06-01,988.5995280000002
2006-07-01,964.4969340000002
2006-08-01,965.3712549999996
2006-09-01,878.6809069999999
2006-10-01,948.620829
2006-11-01,872.851459
2006-12-01,1484.979831
2007-01-01,438.507736789998
2007-02-01,796.556872860001
2007-03-01,750.475658870002
2007-04-01,1237.6572518400037
2007-05-01,1313.7289649900015
2007-06-01,942.1548550700012
2007-07-01,488.4388049400022
2007-08-01,315.24478970999826
2007-09-01,864.7481651699973
2007-10-01,1180.3020325499983
2007-11-01,1039.7141892099971
2007-12-01,1905.3158679200012
2008-01-01,1339.8018118300015
2008-02-01,1015.881230529998
2008-03-01,827.4475880100008
2008-04-01,916.0829083500004
2008-05-01,1039.824220999998
2008-06-01,211.03978702999848
2008-07-01,963.6912431400024
2008-08-01,2207.953197759999
2008-09-01,1607.8308614400048
2008-10-01,932.2340155300062
2008-11-01,720.6315036399974
2008-12-01,773.9687069200008
2009-01-01,954.656172479998
2009-02-01,1281.4899805899986
2009-03-01,1375.3509836000003
2009-04-01,2275.675230039999
2009-05-01,2543.3576839499983
2009-06-01,1592.3743214300002
2009-07-01,1335.8029136000014
2009-08-01,1096.7238122900037
2009-09-01,864.8057093799971
2009-10-01,1151.4897576800004
2009-11-01,1221.1986365000048
2009-12-01,1192.9020940399987
2010-01-01,1198.9651407299991
2010-02-01,503.8774862299984
2010-03-01,284.64118446999964
2010-04-01,2107.0163362999983
2010-05-01,1927.4443539899996
2010-06-01,1218.237824920002
2010-07-01,693.2993996300002
2010-08-01,1027.5113125799962
2010-09-01,1038.0398473399991
2010-10-01,947.7326303999998
2010-11-01,339.8259202700001
2010-12-01,95.27754021000236
2011-01-01,295.9166948800012
2011-02-01,633.7302288499986
2011-03-01,456.51498705000176
2011-04-01,1509.9703541300005
2011-05-01,1443.04261054999
2011-06-01,1112.4257534899953
2011-07-01,367.0597817100015
2011-08-01,657.400961989998
2011-09-01,829.684314060004
2011-10-01,1132.402350880002
2011-11-01,263.40934976000426
2011-12-01,318.85818563000066
2012-01-01,35.53077769000265
2012-02-01,1279.544766930001
2012-03-01,1053.4621342400003
2012-04-01,1945.1428353300016
2012-05-01,1093.7268470400013
2012-06-01,788.6662595900007
2012-07-01,1310.2372757699975
2012-08-01,1174.670155089998
2012-09-01,948.5002181600066
2012-10-01,632.5968774499979
2012-11-01,869.9558187999983
2012-12-01,876.1393925900029
2013-01-01,24.807490029999823
2013-02-01,-268.87564855000073
2013-03-01,540.7710781899996
2013-04-01,701.9323934700005
2013-05-01,1365.1560310399982
2013-06-01,840.5874224600002
2013-07-01,-57.49860735000129
2013-08-01,125.638853819999
2013-09-01,515.8753254099975
2013-10-01,-803.9826334999962
2013-11-01,-1002.08266799
2013-12-01,-461.1477707699987
2014-01-01,-1374.0
2014-02-01,-889.0
2014-03-01,-477.0
2014-04-01,823.0
2014-05-01,1402.0
2014-06-01,1356.0
2014-07-01,272.0
2014-08-01,776.0
2014-09-01,41.0
2014-10-01,300.0
2014-11-01,238.0
2014-12-01,202.0
2015-01-01,-567.0
2015-02-01,-213.0
2015-03-01,-678.0
2015-04-01,222.0
2015-05-01,203.0
2015-06-01,339.0
2015-07-01,-232.0
2015-08-01,-469.0
2015-09-01,-325.0
2015-10-01,-25.0
2015-11-01,-701.0
2015-12-01,-975.0
2016-01-01,-249.0
2016-02-01,46.0
2016-03-01,-130.0
2016-04-01,320.0
2016-05-01,503.0
2016-06-01,259.0
2016-07-01,278.0
2016-08-01,595.0
2016-09-01,242.0
2016-10-01,-54.0
2016-11-01,125.0
2016-12-01,33.0
2017-01-01,-53.0
2017-02-01,-218.0
2017-03-01,-911.0
2017-04-01,-106.0
2017-05-01,-571.0
2017-06-01,-746.0
2017-07-01,-745.0
2017-08-01,-1052.0
2017-09-01,-698.0
2017-10-01,-927.0
2017-11-01,-1494.0
2017-12-01,-787.0
2018-01-01,-933.0
2018-02-01,-892.0
2018-03-01,-562.0
2018-04-01,-890.0
2018-05-01,-1285.0
2018-06-01,-328.0
2018-07-01,-767.0
2018-08-01,-1112.0
2018-09-01,337.0
2018-10-01,325.0
2018-11-01,987.0
2018-12-01,1419.0
2019-01-01,373.0
2019-02-01,450.0
2019-03-01,1181.0
2019-04-01,1165.0
2019-05-01,1399.0
2019-06-01,1068.0
2019-07-01,951.0
2019-08-01,1168.0
2019-09-01,1744.0
2019-10-01,1768.0
2019-11-01,2484.0
2019-12-01,2241.0
2020-01-01,1044.0
2020-02-01,1187.0
2020-03-01,1229.0
2020-04-01,1455.0
2020-05-01,1912.0
2020-06-01,1487.0
2020-07-01,1480.0
2020-08-01,1447.0
2020-09-01,598.0
2020-10-01,670.0
2020-11-01,385.0
2020-12-01,-364.0
2021-01-01,1068.0
2021-02-01,1062.0
2021-03-01,400.0
2021-04-01,1470.0
2021-05-01,1672.0
2021-06-01,1101.0
2021-07-01,1537.0
2021-08-01,2345.0
2021-09-01,1684.0
2021-10-01,1616.0
2021-11-01,424.0
2021-12-01,371.0
2022-01-01,297.0
2022-02-01,818.0
2022-03-01,271.0
2022-04-01,1454.0
2022-05-01,368.0
2022-06-01,-231.0
2022-07-01,-484.0
2022-08-01,-296.0
2022-09-01,381.0
2022-10-01,1883.0
2022-11-01,1360.0
2022-12-01,1102.0
2023-01-01,-442.65037138000025
2023-02-01,210.59857897999973
2023-03-01,-1111.03221062
2023-04-01,-192.9935071
2023-05-01,-1124.04429049
2023-06-01,-1832.73689149
2023-07-01,-700.33999356
2023-08-01,-974.3922908100004
2023-09-01,-774.4389182599998
2023-10-01,-442.40832169999976
2023-11-01,-558.6996693600004
2023-12-01,1018.0371025699995
2024-01-01,808.3693026199999
2024-02-01,1432.09472723
2024-03-01,2160.37502213
2024-04-01,1806.76967506
2024-05-01,2654.4164960499998
2024-06-01,1879.7824356
2024-07-01,1458.7371872699996
2024-08-01,1874.8443753600004
2024-09-01,981.92177394
2024-10-01,911.7861956099996
2024-11-01,1276.9301323500003
2024-12-01,1681.6078296299993
2025-01-01,162.09788067000045
2025-02-01,275.4164964599995
2025-03-01,623.4989976000006
2025-04-01,214.37149503
2025-05-01,607.2129703500004
2025-06-01,879.3505254299998
2025-07-01,906.8840177600003
2025-08-01,1440.2915410300002
2025-09-01,937.0487097599998
2025-10-01,812.6636486799998
2025-11-01,2534.73886719
2025-12-01,1926.50243673
2026-01-01,2188.6258902100008
2026-02-01,796.7651359800002
2026-03-01,2581.1898481199987
2026-04-01,2712.7966595000007
2026-05-01,3449.793921749999
2026-06-01,2193.8482095200006
