indice_tiempo,116.3_TCRMA_0_M_36
2012-03-01,109.801586321241
2012-04-01,106.90182383076193
2012-05-01,102.62518330711806
2012-06-01,100.26682728549837
2012-07-01,100.09535171119374
2012-08-01,100.46264517601796
2012-09-01,101.52839203898375
2012-10-01,101.80860950436634
2012-11-01,100.65027122348556
2012-12-01,101.37999425046311
2013-01-01,102.51903725984624
2013-02-01,103.48037641404343
2013-03-01,102.67538236426569
2013-04-01,102.19310801075112
2013-05-01,101.31354578316244
2013-06-01,99.06137456208508
2013-07-01,97.28322889151558
2013-08-01,96.86066867705456
2013-09-01,98.92359790749788
2013-10-01,100.52661867948
2013-11-01,98.56686491900903
2013-12-01,101.02939709105688
2014-01-01,108.1811214293368
2014-02-01,114.79852774296708
2014-03-01,112.1581574611235
2014-04-01,111.61090168901065
2014-05-01,109.79693886319284
2014-06-01,108.45302496158074
2014-07-01,107.0853821508229
2014-08-01,105.69477818846087
2014-09-01,102.48409365650213
2014-10-01,98.96845256617004
2014-11-01,95.9983624290858
2014-12-01,93.0411173012722
2015-01-01,91.27074383173463
2015-02-01,88.68122894005755
2015-03-01,84.55035611186412
2015-04-01,84.9042584596426
2015-05-01,84.84281977887582
2015-06-01,84.01860375605538
2015-07-01,82.33926246248659
2015-08-01,79.25537915478465
2015-09-01,76.19734652426344
2015-10-01,76.09302118445729
2015-11-01,75.43439533902283
2015-12-01,85.10477049531175
2016-01-01,96.00213026665888
2016-02-01,102.46340690520722
2016-03-01,103.03024119681776
2016-04-01,97.42026494107328
2016-05-01,91.45739041829414
2016-06-01,89.33309145876673
2016-07-01,92.87274639134368
2016-08-01,92.82664013467362
2016-09-01,93.32111332449404
2016-10-01,92.194345230639
2016-11-01,89.21752658482434
2016-12-01,90.14417286056938
2017-01-01,90.88310833109853
2017-02-01,89.01321351408299
2017-03-01,86.83092293686005
2017-04-01,83.96481444838444
2017-05-01,84.44986303918523
2017-06-01,85.29732261639779
2017-07-01,91.30317203794284
2017-08-01,92.71486140951224
2017-09-01,90.89855592774092
2017-10-01,89.36639362763712
2017-11-01,87.68938182516473
2017-12-01,87.11088552913573
2018-01-01,93.55053865598636
2018-02-01,96.16828708610684
2018-03-01,95.59514391940776
2018-04-01,92.15099066266431
2018-05-01,101.41660306704748
2018-06-01,109.33700471175786
2018-07-01,109.45764602440892
2018-08-01,113.26875226424316
2018-09-01,136.74181990279214
2018-10-01,126.96237491905744
2018-11-01,118.89146763299674
2018-12-01,119.22027305722528
2019-01-01,116.64606561371968
2019-02-01,116.6601491375196
2019-03-01,119.76328317564308
2019-04-01,120.1434681938902
2019-05-01,119.43558615627576
2019-06-01,114.78789829913148
2019-07-01,109.8224166088552
2019-08-01,127.77665862208951
2019-09-01,130.70723844267704
2019-10-01,129.78726674521587
2019-11-01,127.03946489548572
2019-12-01,123.66806992408384
2020-01-01,120.93727817801664
2020-02-01,119.07725758798917
2020-03-01,114.90148381454726
2020-04-01,112.10406655975048
2020-05-01,112.37914931925468
2020-06-01,117.0584681240013
2020-07-01,118.55065853583837
2020-08-01,119.7593953726328
2020-09-01,120.46377225310457
2020-10-01,119.17317305276268
2020-11-01,120.42818054601597
2020-12-01,123.78872903840734
2021-01-01,123.54847201836388
2021-02-01,123.17687562865184
2021-03-01,119.97886178335229
2021-04-01,117.5453002158145
2021-05-01,117.87859929326012
2021-06-01,117.31425780871524
2021-07-01,114.08393231509834
2021-08-01,112.28415164722584
2021-09-01,110.49825119877616
2021-10-01,106.16654980671548
2021-11-01,104.36663150859044
2021-12-01,102.26886322650964
2022-01-01,101.98667299212951
2022-02-01,102.69184163270717
2022-03-01,101.3062471973853
2022-04-01,99.81558963146016
2022-05-01,96.43944341230365
2022-06-01,95.60731519798492
2022-07-01,91.696043190719
2022-08-01,91.4911049166073
2022-09-01,89.26422166421666
2022-10-01,88.35327082164328
2022-11-01,90.097103776563
2022-12-01,93.21101721987628
2023-01-01,95.14063774954568
2023-02-01,94.76917731040544
2023-03-01,93.58891957423567
2023-04-01,93.81139795932678
2023-05-01,93.05109254015332
2023-06-01,93.9620368290703
2023-07-01,95.84523343591636
2023-08-01,104.82581406789554
2023-09-01,100.66491108547751
2023-10-01,89.62223466261251
2023-11-01,83.19024889092823
2023-12-01,124.8715827662506
2024-01-01,132.78329804941433
2024-02-01,115.75579006002025
2024-03-01,105.87373691154625
2024-04-01,97.0263216151782
2024-05-01,93.43047026156258
2024-06-01,89.89842994707736
2024-07-01,87.87889515509198
2024-08-01,87.15901302377064
2024-09-01,86.04323009221208
2024-10-01,84.03863352814257
2024-11-01,81.7457900205989
2024-12-01,79.7730421256683
